Year;Month;Day;Hour;Minute;Seconds;V_t;V_t_err ;V_sw ;V_pf;V_pf_err;Theta_B;N_t (x);N_t(y);N_t(z);B0(x);B0(y);B0(z);|B0|;;;;;
2005;3;1;5;57;58,2;631,1;15,0;620,8;30,8;60,4;4,3;-0,95;0,04;-0,29;-1,3;-2,0;3,2;4,0;;;;;
2005;3;23;19;31;11,2;335,0;3,9;355,1;24,2;30,1;12,5;-0,84;0,39;0,37;2,0;1,8;-1,2;3,4;;;;;
2005;3;26;6;25;31,8;643,2;16,5;658,0;2,0;66,5;15,3;-0,98;-0,19;-0,01;-0,7;2,8;2,6;4,0;;;;;
2005;3;2;18;43;30,0;635,6;22,4;607,3;62,3;59,6;21,4;-0,93;0,36;0,08;0,5;1,1;2,4;2,7;;;;;
2005;3;2;19;56;33,6;589,1;19,9;612,7;9,8;61,2;18,9;-0,94;0,05;0,33;0,0;2,8;-0,1;2,8;;;;;
2005;3;31;5;36;19,0;432,0;8,7;464,8;3,5;44,0;5,0;-0,93;-0,28;0,24;0,5;-1,1;1,1;1,6;;;;;
2005;3;3;3;12;0,4;420,0;8,0;584,3;-13,9;45,8;16,4;-0,77;-0,44;0,45;0,1;1,3;1,8;2,4;;;;;
2005;3;5;23;43;58,8;229,1;2,6;392,5;-6,1;22,7;1,4;-0,56;-0,54;-0,62;2,9;-7,2;1,6;7,9;;;;;
2005;3;7;16;21;9,6;460,9;10,4;657,4;-15,6;49,3;80,7;-0,75;-0,50;0,43;0,0;1,3;3,4;6,1;;;;;
2005;3;7;16;23;6,1;662,3;26,8;657,4;48,3;68,9;81,0;-0,98;-0,16;-0,11;0,0;1,3;3,4;6,1;;;;;
2005;3;7;9;53;44,9;579,1;17,0;635,2;-22,9;60,5;17,7;-0,92;-0,06;0,40;1,4;2,3;6,7;7,3;;;;;
2005;3;9;17;2;59,2;351,8;5,1;699,2;-24,5;41,5;149,9;-0,61;-0,48;-0,63;0,3;-1,2;0,1;4,8;;;;;
2005;3;9;20;56;33,5;713,5;28,2;699,5;50,5;72,0;15,0;-0,94;-0,01;0,34;-0,2;-3,6;-0,3;3,7;;;;;
2005;3;9;21;24;10,6;421,9;8,0;672,7;-12,3;43,4;136,5;-0,64;-0,16;0,75;1,1;-0,6;1,0;4,5;;;;;
2005;4;10;2;35;3,1;304,3;4,7;328,1;-7,5;31,9;112,5;-0,97;-0,15;-0,20;0,0;1,1;-0,8;2,4;;;;;
2005;4;10;5;0;14,7;184,3;1,5;322,1;8,5;18,9;83,1;-0,60;-0,76;-0,25;-2,4;1,1;0,1;3,6;;;;;
2005;4;12;23;0;44,5;468,4;9,1;535,5;-4,6;49,1;3,1;-0,90;0,07;-0,43;3,1;-4,3;-6,8;8,7;;;;;
2005;4;14;13;26;19,1;412,5;8,0;517,0;-85,2;50,6;83,2;-0,98;-0,20;-0,03;1,3;-2,7;-1,5;4,5;;;;;
2005;4;14;23;4;3,3;416,1;7,4;501,5;-24,7;44,2;37,2;-0,88;-0,46;0,09;1,8;-3,3;0,0;4,1;;;;;
2005;4;15;1;45;2,6;258,6;3,6;477,9;23,2;25,1;13,9;-0,53;-0,27;-0,80;3,3;0,1;-0,7;3,4;;;;;
2005;4;24;12;30;29,7;428,1;9,5;541,6;14,5;42,5;15,9;-0,78;-0,19;-0,60;-0,9;4,6;-0,5;4,9;;;;;
2005;4;24;9;22;56,8;330,5;6,2;532,8;50,7;25,8;8,3;-0,49;0,35;-0,80;-2,8;-0,7;1,3;3,2;;;;;
2005;4;29;9;49;55,0;297,0;4,0;334,3;-37,1;33,5;1,6;-1,00;0,06;-0,02;-0,1;0,5;-2,8;2,8;;;;;
2005;4;29;9;54;3,9;437,6;8,6;334,1;106,0;34,1;5,8;-0,99;0,07;0,11;-0,3;-0,2;-2,6;2,6;;;;;
2005;4;4;22;14;21,3;606,8;16,3;598,4;127,2;52,1;91,3;-0,87;-0,22;-0,44;3,5;-5,3;-0,9;8,9;;;;;
